Date,State,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,CO,O3,Year,Month,Day
02-01-2025,Manipur,216,Poor,90.3,152.9,31.8,10.2,1.13,48.9,2025,January,2
02-01-2025,Meghalaya,149,Moderate,67.9,98.2,22.9,8.3,0.76,60.1,2025,January,2
02-01-2025,Mizoram,176,Moderate,73.6,125,30.9,9.1,0.96,59.2,2025,January,2
02-01-2025,Nagaland,208,Poor,82.9,142.1,31.3,11,1.08,54.8,2025,January,2
02-01-2025,Odisha,181,Moderate,71.3,120.7,26,8.2,1.08,53.6,2025,January,2
02-01-2025,Punjab,230,Poor,101.2,168.9,35.5,10.8,1.18,51.8,2025,January,2
02-01-2025,Rajasthan,117,Moderate,51.8,78.5,16,6.2,0.66,60.8,2025,January,2
02-01-2025,Sikkim,211,Poor,90.2,160.1,36.2,10.1,1.2,49.3,2025,January,2
02-01-2025,Tamil Nadu,181,Moderate,78.5,132.1,26.3,9.1,1.08,56.9,2025,January,2
02-01-2025,Telangana,144,Moderate,56.2,112.1,22,7.7,0.79,55.3,2025,January,2
02-01-2025,Tripura,203,Poor,80.7,151.4,34.2,11.1,1.07,57.6,2025,January,2
02-01-2025,Uttar Pradesh,227,Poor,90,154.2,37.6,11.6,1.19,47.8,2025,January,2
02-01-2025,Uttarakhand,177,Moderate,74.3,126.1,28.3,9.4,0.94,60.4,2025,January,2
02-01-2025,West Bengal,128,Moderate,48.4,94.1,20.9,6.1,0.67,59.2,2025,January,2
03-01-2025,Andhra Pradesh,184,Moderate,78,127.1,27.4,9.1,1.1,57,2025,January,3
03-01-2025,Arunachal Pradesh,153,Moderate,60.2,105.8,26.7,8.5,0.76,59.2,2025,January,3
03-01-2025,Assam,192,Moderate,79.6,131,29.6,9.1,1.03,56,2025,January,3
03-01-2025,Bihar,157,Moderate,64.2,105.2,26,7.8,0.88,57.3,2025,January,3
03-01-2025,Chhattisgarh,165,Moderate,64.4,117.3,25.4,8.4,0.98,58.6,2025,January,3
03-01-2025,Goa,156,Moderate,66.2,109.5,24.1,7.7,0.93,59.3,2025,January,3
03-01-2025,Gujarat,126,Moderate,53.1,82.7,19.7,5.6,0.61,62,2025,January,3
03-01-2025,Haryana,149,Moderate,67.9,114.2,23.1,8.3,0.85,57.5,2025,January,3
03-01-2025,Himachal Pradesh,220,Poor,88.9,149.3,33.7,11,1.31,52,2025,January,3
03-01-2025,Jharkhand,237,Poor,101.4,161.4,40.2,12.6,1.23,48.6,2025,January,3
03-01-2025,Karnataka,160,Moderate,66.9,121,28.1,7.9,0.92,56.2,2025,January,3
03-01-2025,Kerala,183,Moderate,75.7,140.2,28.7,9.2,1.11,54.3,2025,January,3
03-01-2025,Madhya Pradesh,145,Moderate,66.7,101.9,23.2,6.8,0.9,62.6,2025,January,3
03-01-2025,Maharashtra,217,Poor,91.8,151.1,33.3,10.2,1.2,57,2025,January,3
03-01-2025,Manipur,222,Poor,87.7,163.6,32.8,11.6,1.17,51.1,2025,January,3
03-01-2025,Meghalaya,137,Moderate,53.7,89.3,22.2,6,0.72,55.8,2025,January,3
03-01-2025,Mizoram,200,Moderate,81.7,144.2,30.2,9.6,1.11,57.7,2025,January,3
03-01-2025,Nagaland,218,Poor,88.9,166.4,32.5,10.5,1.23,53.9,2025,January,3
03-01-2025,Odisha,181,Moderate,77.1,122.9,28.6,8.9,0.95,58.6,2025,January,3
03-01-2025,Punjab,227,Poor,93.4,165.9,38.6,10.5,1.32,48.5,2025,January,3
03-01-2025,Rajasthan,121,Moderate,49.1,89,16.7,5.5,0.7,61.4,2025,January,3
03-01-2025,Sikkim,204,Poor,90.1,153.8,30.5,9.4,1.06,51.9,2025,January,3
03-01-2025,Tamil Nadu,159,Moderate,60.8,107.9,25.9,7.7,0.87,62,2025,January,3
03-01-2025,Telangana,151,Moderate,58,103.6,24.1,7.3,0.74,56.5,2025,January,3
03-01-2025,Tripura,172,Moderate,68.8,122.5,25.1,9.4,0.88,59.3,2025,January,3
03-01-2025,Uttar Pradesh,233,Poor,95.6,168.7,39.8,12.6,1.27,48.9,2025,January,3
03-01-2025,Uttarakhand,138,Moderate,59.1,97.3,20.7,6.3,0.68,55.7,2025,January,3
03-01-2025,West Bengal,156,Moderate,64.9,115.6,26.6,7.1,0.88,54.2,2025,January,3
04-01-2025,Andhra Pradesh,213,Poor,93.4,143.7,34.1,9.7,1.19,57.7,2025,January,4
04-01-2025,Arunachal Pradesh,114,Moderate,43.6,78.1,17,6.2,0.73,62.6,2025,January,4
04-01-2025,Assam,189,Moderate,77.9,143.4,33,8.7,1,53.4,2025,January,4
04-01-2025,Bihar,142,Moderate,61.4,102,25.2,7.1,0.81,62.2,2025,January,4
04-01-2025,Chhattisgarh,142,Moderate,53.7,94,23.2,6.3,0.85,62,2025,January,4
04-01-2025,Goa,153,Moderate,69.6,114.7,23.3,8,0.91,53.2,2025,January,4
04-01-2025,Gujarat,160,Moderate,61.3,123,28.5,7.2,0.92,61.9,2025,January,4
04-01-2025,Haryana,122,Moderate,55.3,92.6,19.4,6.3,0.67,56.1,2025,January,4
04-01-2025,Himachal Pradesh,236,Poor,93.7,176,37.4,12.7,1.41,46.2,2025,January,4
04-01-2025,Jharkhand,194,Moderate,80.3,135.6,31.4,9.9,1.01,50.4,2025,January,4
04-01-2025,Karnataka,136,Moderate,54.2,98.5,24.3,6.2,0.77,56.3,2025,January,4
04-01-2025,Kerala,213,Poor,87.9,161,34.4,10.2,1.24,57.6,2025,January,4
04-01-2025,Madhya Pradesh,111,Moderate,49,85.4,16.3,4.9,0.67,60.9,2025,January,4
04-01-2025,Maharashtra,197,Moderate,80.6,136.9,29.6,9.8,1.13,52.2,2025,January,4
04-01-2025,Manipur,187,Moderate,81.9,142.2,28.6,8.7,1.12,58.8,2025,January,4
04-01-2025,Meghalaya,151,Moderate,69.1,118.3,25.4,7.2,0.86,60.1,2025,January,4
04-01-2025,Mizoram,197,Moderate,87.6,139.7,31.5,9.5,1.11,58.7,2025,January,4
04-01-2025,Nagaland,224,Poor,94,157,33.3,12.1,1.18,47.1,2025,January,4
04-01-2025,Odisha,206,Poor,87.8,155.7,32.3,9.6,1.05,49.6,2025,January,4
04-01-2025,Punjab,228,Poor,98.6,165.5,33.7,11.7,1.27,48,2025,January,4
04-01-2025,Rajasthan,113,Moderate,48.8,75.2,17.9,6.6,0.63,61.3,2025,January,4
04-01-2025,Sikkim,196,Moderate,78.3,140.7,29.3,10.3,1.15,58.3,2025,January,4
04-01-2025,Tamil Nadu,183,Moderate,82.1,126,26.4,8.7,0.93,58.9,2025,January,4
04-01-2025,Telangana,164,Moderate,74.1,127,25,9,0.97,58.7,2025,January,4
04-01-2025,Tripura,177,Moderate,70.7,125,28.7,8.1,0.91,51.7,2025,January,4
04-01-2025,Uttar Pradesh,196,Moderate,81.7,137.7,30.1,8.8,1.16,51,2025,January,4
04-01-2025,Uttarakhand,135,Moderate,53.3,98.6,23.4,6.5,0.8,58.1,2025,January,4
04-01-2025,West Bengal,150,Moderate,66.8,114.7,22.4,7.8,0.79,56.1,2025,January,4
05-01-2025,Andhra Pradesh,166,Moderate,67.7,122.7,28.7,8.8,0.84,58.3,2025,January,5
05-01-2025,Arunachal Pradesh,153,Moderate,58.4,104.1,27.1,6.9,0.87,54.4,2025,January,5
05-01-2025,Assam,204,Poor,80,139.5,31.6,10.7,1.2,57.6,2025,January,5
05-01-2025,Bihar,155,Moderate,66.9,102.2,27.3,8.4,0.77,57.6,2025,January,5
05-01-2025,Chhattisgarh,163,Moderate,67.9,114,26.5,8.9,0.97,54.7,2025,January,5
05-01-2025,Goa,156,Moderate,67.3,116.2,27,8,0.77,59.6,2025,January,5
05-01-2025,Gujarat,149,Moderate,63,114.7,21.2,6.8,0.83,55.6,2025,January,5
05-01-2025,Haryana,141,Moderate,62.4,100.6,25,6.7,0.77,56.6,2025,January,5
05-01-2025,Himachal Pradesh,217,Poor,91.9,148.6,36.6,10.2,1.16,52.8,2025,January,5
05-01-2025,Jharkhand,200,Moderate,81.3,150.2,31.1,11,1.02,49.6,2025,January,5
05-01-2025,Karnataka,163,Moderate,63.5,121.9,27.7,8.6,0.86,59.8,2025,January,5
05-01-2025,Kerala,187,Moderate,81.9,139.7,28.5,9.6,1.04,56.8,2025,January,5
05-01-2025,Madhya Pradesh,134,Moderate,51,104.2,23.4,7.3,0.67,63.8,2025,January,5
05-01-2025,Maharashtra,181,Moderate,78.4,134.6,28.6,9.6,1.1,57.9,2025,January,5
05-01-2025,Manipur,219,Poor,87,164.2,34.2,11.1,1.23,51,2025,January,5
05-01-2025,Meghalaya,182,Moderate,77.7,136.3,26.5,9,1.03,51.4,2025,January,5
05-01-2025,Mizoram,176,Moderate,69.8,128.5,27.6,8.1,0.97,60.5,2025,January,5
05-01-2025,Nagaland,180,Moderate,79.5,133.3,26.6,9.1,1.03,55.8,2025,January,5
05-01-2025,Odisha,199,Moderate,81.1,149.9,32,10.1,1.16,54.4,2025,January,5
05-01-2025,Punjab,203,Poor,82.1,148.9,34.1,10.4,1.14,53.6,2025,January,5
05-01-2025,Rajasthan,156,Moderate,68.8,109.8,25.2,7.8,0.93,52.6,2025,January,5
05-01-2025,Sikkim,186,Moderate,76.5,127,31.4,8.7,1.04,50.3,2025,January,5
05-01-2025,Tamil Nadu,191,Moderate,84.3,133.9,32.7,9.9,1.03,52.4,2025,January,5
05-01-2025,Telangana,166,Moderate,64.3,120.7,25,9,0.97,54.5,2025,January,5
05-01-2025,Tripura,216,Poor,92,161.8,32,11.1,1.23,51.5,2025,January,5
05-01-2025,Uttar Pradesh,231,Poor,103,165.1,34.2,11.2,1.2,56.2,2025,January,5
05-01-2025,Uttarakhand,162,Moderate,71.8,118.9,26.6,8.3,0.9,55.6,2025,January,5
05-01-2025,West Bengal,134,Moderate,56.2,98.4,21.6,6.2,0.78,60.2,2025,January,5
06-01-2025,Andhra Pradesh,167,Moderate,70.5,118,24.2,7.5,0.84,58.8,2025,January,6
06-01-2025,Arunachal Pradesh,125,Moderate,54,99.2,17.5,5.4,0.61,56.2,2025,January,6
06-01-2025,Assam,187,Moderate,79.9,129,28.6,10.3,1,54.5,2025,January,6
06-01-2025,Bihar,138,Moderate,59.3,103.9,21.3,6.1,0.85,63.5,2025,January,6
06-01-2025,Chhattisgarh,176,Moderate,73,134.4,25.7,9.1,1.07,53.4,2025,January,6
06-01-2025,Goa,149,Moderate,63.7,109.2,26.3,7.8,0.84,62.4,2025,January,6
06-01-2025,Gujarat,165,Moderate,71.9,122.8,27.4,7.8,0.95,57.7,2025,January,6
06-01-2025,Haryana,128,Moderate,58,84.2,22.2,5.5,0.67,56.8,2025,January,6
06-01-2025,Himachal Pradesh,198,Moderate,84,134.4,30.9,9.1,1.06,57.3,2025,January,6
06-01-2025,Jharkhand,195,Moderate,83.9,140.8,31.8,9.8,1.05,49.7,2025,January,6
06-01-2025,Karnataka,172,Moderate,72.9,122.7,27.4,9.4,1.05,55.4,2025,January,6
06-01-2025,Kerala,220,Poor,90.3,156.5,32.3,11.7,1.23,51.1,2025,January,6
06-01-2025,Madhya Pradesh,122,Moderate,52.1,97.4,20.3,5.5,0.7,58.3,2025,January,6
06-01-2025,Maharashtra,176,Moderate,70.9,121.1,27.8,9.2,0.98,56.9,2025,January,6
06-01-2025,Manipur,228,Poor,101.2,167.4,39.5,11.5,1.33,50.8,2025,January,6
06-01-2025,Meghalaya,153,Moderate,64.8,116.4,25.7,8.2,0.88,53.2,2025,January,6
06-01-2025,Mizoram,190,Moderate,84.5,146.7,30.9,10,0.97,57,2025,January,6
06-01-2025,Nagaland,186,Moderate,81.2,138.2,31.5,9.5,1.03,58.8,2025,January,6
06-01-2025,Odisha,168,Moderate,68,121.9,27.4,8,0.92,54.3,2025,January,6
06-01-2025,Punjab,206,Poor,82.6,141.3,35.7,9.6,1.15,50.5,2025,January,6
06-01-2025,Rajasthan,150,Moderate,60.7,110.1,26,7.8,0.86,53,2025,January,6
06-01-2025,Sikkim,211,Poor,87.4,161.4,35.9,10.4,1.27,50,2025,January,6
06-01-2025,Tamil Nadu,152,Moderate,67.3,106.1,26.4,7.1,0.86,62,2025,January,6
06-01-2025,Telangana,158,Moderate,63.8,112.5,27.5,7.9,0.85,56.6,2025,January,6
06-01-2025,Tripura,200,Moderate,89.9,153.1,33,9,1.11,49.2,2025,January,6
06-01-2025,Uttar Pradesh,203,Poor,86,139,31.3,11.1,1.18,52.8,2025,January,6
06-01-2025,Uttarakhand,162,Moderate,63.9,110.3,26.5,8.7,0.84,57,2025,January,6
06-01-2025,West Bengal,122,Moderate,56.6,80.5,19.3,5.7,0.74,64.2,2025,January,6
07-01-2025,Andhra Pradesh,202,Poor,84.1,145.3,31.7,10.7,1.04,57.2,2025,January,7
07-01-2025,Arunachal Pradesh,126,Moderate,49.7,90.5,21.8,5.7,0.71,58.5,2025,January,7
07-01-2025,Assam,191,Moderate,79.6,132.4,27.6,9.3,1.12,51.4,2025,January,7
07-01-2025,Bihar,162,Moderate,64.7,116.6,23.1,7.9,0.98,54.5,2025,January,7
07-01-2025,Chhattisgarh,169,Moderate,71.6,119.6,28.7,9.3,0.85,52.2,2025,January,7
07-01-2025,Goa,156,Moderate,64.6,119.6,22,8.4,0.9,56.3,2025,January,7
07-01-2025,Gujarat,155,Moderate,63.6,114.8,24.9,7.3,0.95,59.1,2025,January,7
07-01-2025,Haryana,128,Moderate,51.1,101.8,20.3,6.6,0.65,59.3,2025,January,7
07-01-2025,Himachal Pradesh,202,Poor,84.7,148,31.1,9.9,1.06,55,2025,January,7
07-01-2025,Jharkhand,191,Moderate,78,135.8,28.4,9.7,1.05,54.1,2025,January,7
07-01-2025,Karnataka,177,Moderate,79.3,130.2,25.6,8.3,1,54.1,2025,January,7
07-01-2025,Kerala,186,Moderate,77.2,141.2,29.3,8.8,1.03,51.6,2025,January,7
07-01-2025,Madhya Pradesh,139,Moderate,62.1,109.2,20.5,7.7,0.76,55,2025,January,7
07-01-2025,Maharashtra,205,Poor,91.6,156.7,33.2,10.1,1.19,55.3,2025,January,7
07-01-2025,Manipur,216,Poor,92.7,146.8,36.4,10.3,1.19,49.1,2025,January,7
07-01-2025,Meghalaya,173,Moderate,71.7,117.6,27,8.4,0.86,55.7,2025,January,7
07-01-2025,Mizoram,178,Moderate,79.7,122,27.5,8.3,1.05,52.1,2025,January,7
07-01-2025,Nagaland,203,Poor,85,141.4,34.4,10.5,1.08,51.3,2025,January,7
07-01-2025,Odisha,206,Poor,91.4,143.6,32.3,9.6,1.08,51.5,2025,January,7
07-01-2025,Punjab,195,Moderate,83,137.9,32.5,10.7,1,54.2,2025,January,7
07-01-2025,Rajasthan,114,Moderate,49.8,74.5,18.8,5.9,0.63,64.9,2025,January,7
07-01-2025,Sikkim,195,Moderate,80.7,140.3,28.8,8.8,1.03,51.3,2025,January,7
07-01-2025,Tamil Nadu,168,Moderate,75.9,113.2,24.8,8.1,0.92,60.9,2025,January,7
07-01-2025,Telangana,172,Moderate,77.5,115.4,27.8,8.4,0.86,51.4,2025,January,7
07-01-2025,Tripura,187,Moderate,80.4,125.4,30,8.9,0.95,55.4,2025,January,7
07-01-2025,Uttar Pradesh,221,Poor,95,156.3,32.5,11,1.26,50.4,2025,January,7
07-01-2025,Uttarakhand,160,Moderate,66.2,121.6,22.7,7.3,0.86,54.3,2025,January,7
07-01-2025,West Bengal,129,Moderate,60.2,90.2,20.2,7.1,0.68,63.1,2025,January,7
08-01-2025,Andhra Pradesh,178,Moderate,75.7,121.3,25.9,9.4,0.92,59.9,2025,January,8
08-01-2025,Arunachal Pradesh,155,Moderate,66.1,114.9,25.7,8.1,0.81,53.2,2025,January,8
08-01-2025,Assam,189,Moderate,81.9,141.4,28.7,10,0.97,58.8,2025,January,8
08-01-2025,Bihar,165,Moderate,64.9,111.6,23.8,9.1,0.92,52.1,2025,January,8
08-01-2025,Chhattisgarh,169,Moderate,66.5,130,29.5,8.6,1.02,57.5,2025,January,8
08-01-2025,Goa,143,Moderate,58.5,96.7,22.2,7.3,0.88,58.2,2025,January,8
08-01-2025,Gujarat,168,Moderate,67.4,114.5,28.1,7.9,0.85,55.2,2025,January,8
08-01-2025,Haryana,126,Moderate,51.5,95.9,22.9,5.4,0.61,60.4,2025,January,8
08-01-2025,Himachal Pradesh,189,Moderate,78.6,127.6,32.2,9.1,1.11,51.9,2025,January,8
08-01-2025,Jharkhand,230,Poor,100.1,166.8,35.2,11.9,1.32,55.4,2025,January,8
08-01-2025,Karnataka,133,Moderate,50.5,87.4,22.3,7.1,0.67,60.3,2025,January,8
08-01-2025,Kerala,180,Moderate,73.6,130.6,30.6,8.1,1.05,52.5,2025,January,8
08-01-2025,Madhya Pradesh,123,Moderate,47.4,87.8,20.3,7.1,0.76,59.5,2025,January,8
08-01-2025,Maharashtra,189,Moderate,82.3,132.4,28.3,9.7,1.06,54.1,2025,January,8
08-01-2025,Manipur,202,Poor,82.3,149.4,30.6,10.2,1.11,53.7,2025,January,8
08-01-2025,Meghalaya,184,Moderate,73.1,131.6,29.1,9.8,1.09,54.2,2025,January,8
08-01-2025,Mizoram,190,Moderate,76.4,127.7,33.4,9.5,1.03,53.6,2025,January,8
08-01-2025,Nagaland,209,Poor,86.2,155.8,30.9,9.5,1.13,54.3,2025,January,8
08-01-2025,Odisha,176,Moderate,72.9,122.4,27.4,8.9,0.98,54.6,2025,January,8
08-01-2025,Punjab,210,Poor,86.5,151,31.6,10.4,1.19,52.9,2025,January,8
08-01-2025,Rajasthan,154,Moderate,66,102.6,25.9,7.1,0.95,55.1,2025,January,8
08-01-2025,Sikkim,185,Moderate,74.4,130.2,32.4,10,1.01,50.8,2025,January,8
08-01-2025,Tamil Nadu,192,Moderate,79.5,140.9,31.4,9.5,1.11,54.2,2025,January,8
08-01-2025,Telangana,143,Moderate,57.4,107.5,21.5,6.3,0.73,57.2,2025,January,8
08-01-2025,Tripura,179,Moderate,80.7,119.8,28,8.9,0.9,55.3,2025,January,8
08-01-2025,Uttar Pradesh,195,Moderate,85.5,144.2,33.5,10.4,1.05,49.5,2025,January,8
08-01-2025,Uttarakhand,160,Moderate,70.5,124.4,24.4,8.2,0.87,53,2025,January,8
08-01-2025,West Bengal,117,Moderate,52.4,80.2,17.7,5.8,0.69,60.7,2025,January,8
09-01-2025,Andhra Pradesh,183,Moderate,75.7,127.5,31.1,9.9,1.03,54.3,2025,January,9
09-01-2025,Arunachal Pradesh,111,Moderate,51.2,85.2,19.2,4.7,0.65,61.5,2025,January,9
09-01-2025,Assam,185,Moderate,76.6,123.3,28,8.9,0.97,58.4,2025,January,9
09-01-2025,Bihar,176,Moderate,79.7,120.6,27.6,9.2,0.93,60.5,2025,January,9
09-01-2025,Chhattisgarh,175,Moderate,68.4,127.4,25,8.4,0.99,60.3,2025,January,9
09-01-2025,Goa,130,Moderate,55.2,103.5,20.1,6.9,0.69,56.5,2025,January,9
09-01-2025,Gujarat,131,Moderate,50.6,89.6,21.6,7.1,0.75,57.4,2025,January,9
09-01-2025,Haryana,122,Moderate,47.2,95.8,20.5,5.6,0.71,57.4,2025,January,9
09-01-2025,Himachal Pradesh,215,Poor,85,161.4,34.1,11.7,1.28,53.1,2025,January,9
09-01-2025,Jharkhand,216,Poor,92.6,161.5,34.9,11.4,1.16,56.7,2025,January,9
09-01-2025,Karnataka,162,Moderate,73.9,109.4,28.9,8.4,0.88,58.2,2025,January,9
09-01-2025,Kerala,209,Poor,90.9,148.4,35.9,10.7,1.23,49.3,2025,January,9
09-01-2025,Madhya Pradesh,129,Moderate,57.5,84.3,21.4,7.4,0.78,56.9,2025,January,9
09-01-2025,Maharashtra,174,Moderate,76.4,130.9,29.4,8.1,1.01,52.2,2025,January,9
09-01-2025,Manipur,218,Poor,87.8,163.1,36.8,10,1.15,53.4,2025,January,9
09-01-2025,Meghalaya,137,Moderate,60,102.7,22.9,6.1,0.78,56.6,2025,January,9
09-01-2025,Mizoram,196,Moderate,87.2,139.3,29.6,10.5,1.06,52.8,2025,January,9
09-01-2025,Nagaland,204,Poor,86.3,150.4,33.9,10.5,1.13,55.7,2025,January,9
09-01-2025,Odisha,195,Moderate,82.8,136.7,31.4,9.2,1.07,51.7,2025,January,9
09-01-2025,Punjab,209,Poor,93.8,142.2,34.4,10.4,1.19,58,2025,January,9
09-01-2025,Rajasthan,144,Moderate,65.4,110.9,21.3,6.3,0.84,59.7,2025,January,9
09-01-2025,Sikkim,195,Moderate,77.2,139.4,31.3,10.6,1.06,56.4,2025,January,9
09-01-2025,Tamil Nadu,167,Moderate,69.6,124.9,27.9,8.1,0.98,60.5,2025,January,9
09-01-2025,Telangana,159,Moderate,67.6,108,27.5,7.9,0.89,52.9,2025,January,9
09-01-2025,Tripura,174,Moderate,75.6,126,27.6,9.2,0.89,57.8,2025,January,9
09-01-2025,Uttar Pradesh,218,Poor,97.2,159.8,32.7,10.3,1.11,51.6,2025,January,9
09-01-2025,Uttarakhand,132,Moderate,60.2,101.8,20.4,7.2,0.68,59.2,2025,January,9
09-01-2025,West Bengal,114,Moderate,48,91.5,17.4,5,0.66,64.7,2025,January,9
10-01-2025,Andhra Pradesh,186,Moderate,75,131.1,32.5,10,0.98,51.3,2025,January,10
10-01-2025,Arunachal Pradesh,142,Moderate,58.3,107.9,24.6,6.4,0.77,60.6,2025,January,10
10-01-2025,Assam,215,Poor,94.4,164.3,32.2,10.9,1.28,57.3,2025,January,10
10-01-2025,Bihar,177,Moderate,75.4,118.6,27.9,9.3,1.01,59.4,2025,January,10
10-01-2025,Chhattisgarh,148,Moderate,67.5,114.2,26.6,7.7,0.74,59.8,2025,January,10
10-01-2025,Goa,169,Moderate,71.4,116.2,29.1,7.9,0.94,51.7,2025,January,10
10-01-2025,Gujarat,131,Moderate,55.1,97.4,23,6.9,0.72,55.1,2025,January,10
10-01-2025,Haryana,140,Moderate,63,106.4,24.7,7.2,0.73,58.1,2025,January,10
10-01-2025,Himachal Pradesh,222,Poor,96.9,169,36.2,10.9,1.26,50.5,2025,January,10
10-01-2025,Jharkhand,224,Poor,88.6,166.6,33.6,11.5,1.31,51.7,2025,January,10
10-01-2025,Karnataka,170,Moderate,76.5,118.1,28,9.5,1.01,56.2,2025,January,10
10-01-2025,Kerala,214,Poor,86.4,155,33.3,11.5,1.11,52.4,2025,January,10
10-01-2025,Madhya Pradesh,111,Moderate,48.1,72.3,16.7,4.6,0.61,64.7,2025,January,10
10-01-2025,Maharashtra,172,Moderate,70.5,132.4,25.9,8.4,0.94,57.4,2025,January,10
10-01-2025,Manipur,187,Moderate,73,126.9,31.3,8.5,1.04,59.3,2025,January,10
10-01-2025,Meghalaya,155,Moderate,69.6,104.6,22.8,7.6,0.84,57.7,2025,January,10
10-01-2025,Mizoram,173,Moderate,73.9,133.2,29.4,9.2,0.9,55.6,2025,January,10
10-01-2025,Nagaland,228,Poor,93.1,173.1,35.3,11.1,1.36,48.1,2025,January,10
10-01-2025,Odisha,189,Moderate,77.6,144.1,28,10.3,0.97,58.6,2025,January,10
10-01-2025,Punjab,201,Poor,81.3,145.9,30.9,10.1,1.14,58.1,2025,January,10
10-01-2025,Rajasthan,153,Moderate,63.9,103.4,23.5,8.5,0.92,60.5,2025,January,10
10-01-2025,Sikkim,183,Moderate,72,137.1,29.3,10,1.08,52.8,2025,January,10
10-01-2025,Tamil Nadu,182,Moderate,70.8,130.9,27.6,8.9,1.07,50.5,2025,January,10
